Ingredient,Kilocalories,Fat,Protein,Carohydrates
Tomatoes,18,0.2,0.9,3.2
Onions,40,0.1,1.1,8.7
Garlic,149,0.5,6.0,30.1
Lemon Juice,25,0.5,0.1,5.0
Olive oil,819,91.0,0.0,0.0
Salt,0,0.0,0.0,0.0
Pepper,251,3.3,10.0,45.3
Vegetable stock,260,10.0,10.0,32.5
Thyme,101,7.0,9.0,0.5
Avocado,160,15.0,2.0,4.3
Coconut Oil,900,99.0,0.2,2.0
Almonds,659,55.8,21.7,17.5
Strawberries,33,0.3,0.7,6.9
Spinach Leaves,23,0.4,2.9,2.0
Potatoes,77,0.1,2.0,17.0
Mushrooms,22,0.3,3.1,1.7
Chili Powder,282,14.0,13.0,26.0
Tumeric Powder,354,9.7,7.7,59.0
Cumin Seeds,375,22.0,18.0,26.3
Coriander Powder,298,18.0,12.0,22.0
Bananas,89,0.3,1.1,20.5
Blackberries,43,0.5,1.4,8.2
Raspberries,53,0.7,1.2,10.5
Pistachios,605,50.4,23.5,14.4
Coriander Leaves,23,0.5,2.1,2.5
Chocolate (90%),592,55.0,10.0,14.3
Red Chili,40,0.4,1.9,7.2
Sweet Potato,86,0.1,1.6,19.7
Boiled egg,155,10.8,12.8,1.5
Garam Masala,303,11.3,10.7,39.6
Pumpkin Seeds,574,47.2,30.3,7.0
Lime Juice,25,0.1,0.4,5.6
Carrot,41,0.2,0.9,8.9
Soy Sauce,77,0.0,10.0,9.3
Cauliflower,25,0.3,1.9,3.7
